is_act;filters_categories;translation_key;value;pri_trans;primary_translation;sec_trans;secondary_translation;pri_desc;primary_description;sec_desc;secondary_description
1;filters-translations-categories-apps;app-text-site-city;;1;Cape Town;1;Kaapstad;0;;0;
1;filters-translations-categories-apps;app-text-site-cookie;;1;Cookie Statement;1;Koekie verklaring;0;;0;
1;filters-translations-categories-apps;app-text-site-cookie-meaning;;1;This website uses cookies to ensure you get the best experience on our website. See our;1;Hierdie webwerf gebruik koekies om te verseker dat jy die beste ervaring op ons webwerf kry. Sien ons;0;;0;
1;filters-translations-categories-apps;app-text-site-copyright;;1;Copyright;1;Kopiereg;0;;0;
1;filters-translations-categories-apps;app-text-site-country;;1;South Africa;1;Suid Afrika;0;;0;
1;filters-translations-categories-apps;app-text-site-enter-email-address;;1;Enter email address;1;Voer e-posadres in;0;;0;
1;filters-translations-categories-apps;app-text-site-language-location;;1;Language | Location;1;Taal | Ligging;0;;0;
1;filters-translations-categories-apps;app-text-site-locale-af-za;;1;South Africa (Afrikaans);1;Suid Afrika (Afrikaans);0;;0;
1;filters-translations-categories-apps;app-text-site-locale-en-za;;1;South Africa (English);1;Suid Afrika (Engels);0;;0;
1;filters-translations-categories-apps;app-text-site-locale-en-uk;;1;United Kingdom (English);1;Verenigde Koninkryk (Engels);0;;0;
1;filters-translations-categories-apps;app-text-site-locale-en-us;;1;United States (English);1;Verenigde State (Engels);0;;0;
1;filters-translations-categories-apps;app-text-site-passion;;1;Passionate about Symfony PHP web development;1;Passievol oor Symfony PHP-webontwikkeling;0;;0;
1;filters-translations-categories-apps;app-text-site-passion-meaning;;1;All PHP web development related functions and much more;1;Alle PHP-webontwikkelingverwante funksies en nog baie meer;0;;0;
1;filters-translations-categories-apps;app-text-site-password-accept;;1;Accept password;1;Aanvaar wagwoord;0;;0;
1;filters-translations-categories-apps;app-text-site-password-accept-meaning;;1;Is the Coding with TD not accepting your password?;1;Aanvaar die Coding with TD nie jou wagwoord nie?;0;;0;
1;filters-translations-categories-apps;app-text-site-password-example;;1;Password message example;1;Wagwoodbooskap voorbeeld;0;;0;
1;filters-translations-categories-apps;app-text-site-password-example-meaning;;1;(e.g. !@sunny!side#UP vs !@SUNNY!SIDE#UP);1;(bv. !@sunny!side#UP vs !@SUNNY!SIDE#UP);0;;0;
1;filters-translations-categories-apps;app-text-site-password-instructions;;1;Instructions;1;Instruksies;0;;0;
1;filters-translations-categories-apps;app-text-site-password-instructions-meaning;;1;If you have lost your password, enter your signup email address below so we can ask you your specified hint question;1;As jy jou wagwoord verloor het, voer jou aanmeld-e-posadres hieronder in sodat ons jou gespesifiseerde wenkvraag kan vra;0;;0;
1;filters-translations-categories-apps;app-text-site-password-message;;1;Password message;1;Wagwoodbooskap;0;;0;
1;filters-translations-categories-apps;app-text-site-password-message-meaning;;1;You have used capital letters where necessary;1;Jy het hoofletters gebruik waar nodig;0;;0;
1;filters-translations-categories-apps;app-text-site-password-message-continue;;1;Password message continue;1;Wagwoordboodskap gaan voort;0;;0;
1;filters-translations-categories-apps;app-text-site-password-message-continue-meaning;;1;You don`t have CAPS LOCK turned on on your keyboard;1;Jy het nie CAPS LOCK aangeskakel op jou sleutelbord nie;0;;0;
1;filters-translations-categories-apps;app-text-site-password-question;;1;Lost password;1;Velore wagwoord;0;;0;
1;filters-translations-categories-apps;app-text-site-password-question-meaning;;1;Did you lost your Coding with TD password?;1;Het jy jou Coding with TD-wagwoord verloor?;0;;0;
1;filters-translations-categories-apps;app-text-site-password-reminder;;1;ALSO NOTE;1;LET OP;0;;0;
1;filters-translations-categories-apps;app-text-site-password-reminder-meaning;;1;Three (3) incorrect password attempts will lock your account for one (1) hour;1;Drie (3) verkeerde wagwoordpogings sal jou rekening vir een (1) uur sluit;0;;0;
1;filters-translations-categories-apps;app-text-site-password-title;;1;Password title;1;Wagwoord titel;0;;0;
1;filters-translations-categories-apps;app-text-site-password-title-meaning;;1;CHECK THAT;1;MAAK SEKER;0;;0;
1;filters-translations-categories-apps;app-text-site-powered-by;;1;Powered By;1;Aangedryf deur;0;;0;
1;filters-translations-categories-apps;app-text-site-powered-by-meaning;;1;Web Hero Technologies;1;Web Hero Technologies;0;;0;
1;filters-translations-categories-apps;app-text-site-province;;1;Western Cape;1;Wes Kaap;0;;0;
1;filters-translations-categories-apps;app-text-site-question-sign-in;;1;Sign In Question;1;Teken In Vraag;0;;0;
1;filters-translations-categories-apps;app-text-site-question-sign-in-meaning;;1;Already have an Coding with TD account?;1;Het reeds `n Coding with TD-rekening?;0;;0;
1;filters-translations-categories-apps;app-text-site-question-sign-up;;1;Sign Up Question;1;Registreer Vraag;0;;0;
1;filters-translations-categories-apps;app-text-site-question-sign-up-meaning;;1;Don`t have an Coding with TD account?;1;Het nie `n Coding with TD-rekening nie?;0;;0;
1;filters-translations-categories-apps;app-text-site-rights-reserved;;1;Rights Reserved;1;Regte voorbehou;0;;0;
1;filters-translations-categories-apps;app-text-site-slogan;;1;High performance Symfony PHP made easy;1;Hoë werkverrigting Symfony PHP maklik gemaak;0;;0;
1;filters-translations-categories-apps;app-text-site-slogan-meaning;;1;Empowering the aspiring developers to develop technology through collective knowledge.;1;Bemagtig die aspirant-ontwikkelaars om tegnologie te ontwikkel deur kollektiewe kennis;0;;0;
1;filters-translations-categories-apps;app-text-site-theme;;1;Dark Theme;1;Donker Tema;0;;0;
1;filters-translations-categories-apps;app-text-site-theme-meaning;;1;Dark Theme turns the light surfaces of the page dark, creating an experience ideal for the night owls. These setting will apply to this browser only. Try it out!;1;Donker Tema maak die ligte oppervlaktes van die bladsy donker, wat `n ervaring skep wat ideaal is vir die naguile. Hierdie instellings sal slegs op hierdie webblaaier van toepassing wees. Probeer dit gerus!;0;;0;
1;filters-translations-categories-apps;app-text-site-theme-switch;;1;Dark Switch;1;Donker Skakelaar;0;;0;
1;filters-translations-categories-apps;app-text-site-title;;1;Coding with TD;1;Coding with TD;0;;0;
1;filters-translations-categories-apps;app-text-site-version;;1;BETA v1.05.01;1;BETA v1.05.01;0;;0;
1;filters-translations-categories-apps;app-text-site-welcome;;1;Welcome by;1;Welkom by;0;;0;
